outcome,account,r2_holdout,beta,seed
materialHardship,logit,NA,NA,55
materialHardship,ols,0.17800378427172903,0.376600933837823,55
eviction,logit,NA,NA,56
eviction,ols,0.024742169123977198,NA,56
gpa,logit,NA,NA,56
gpa,ols,0.11460546769960078,0.194581577047403,56
grit,logit,NA,NA,56
grit,ols,0.008570279924237645,0.00264137144870963,56
jobTraining,logit,NA,NA,56
jobTraining,ols,0.052903834314418585,NA,56
layoff,logit,NA,NA,56
layoff,ols,0.006148202391938362,NA,56
materialHardship,logit,NA,NA,56
materialHardship,ols,0.18664519905622523,0.379403763155963,56
eviction,logit,NA,NA,57
eviction,ols,0.017662645868551596,NA,57
gpa,logit,NA,NA,57
gpa,ols,0.10784534565838355,0.180959785144824,57
grit,logit,NA,NA,57
grit,ols,0.011595408952451036,0.0281396888427913,57
jobTraining,logit,NA,NA,57
jobTraining,ols,0.051265076618241534,NA,57
layoff,logit,NA,NA,57
layoff,ols,0.008220704614159469,NA,57
materialHardship,logit,NA,NA,57
materialHardship,ols,0.1730017563679923,0.354924315799864,57
eviction,logit,NA,NA,58
eviction,ols,0.019733766277398535,NA,58
gpa,logit,NA,NA,58
gpa,ols,0.13238964805052522,0.148099823035187,58
grit,logit,NA,NA,58
grit,ols,0.010071501254328985,0.00361082804249677,58
jobTraining,logit,NA,NA,58
jobTraining,ols,0.0489303081357646,NA,58
layoff,logit,NA,NA,58
layoff,ols,0.008248449873981212,NA,58
materialHardship,logit,NA,NA,58
materialHardship,ols,0.1840812449219823,0.387875619175037,58
eviction,logit,NA,NA,59
eviction,ols,0.018084917182095372,NA,59
